phrasal_verb,example,predicted_meaning
abide by,"Ah, surely,' Maram said, `this is the time to abide by the letter of his rule?","to follow a rule, decision, or instruction"
abide by,They promised to abide by the rules of the contest.,"to follow a rule, decision, or instruction"
accord with,Hemming’s account does not accord with the police evidence.,to agree with or be the same as something else
account for,A number of factors account for the differences between the two scores.,to be the reason why something exists or happens
account for,Electronic goods account for over 30% of our exports.,"if someone is accounted for, you know where they are and so do not worry that they are not where they should be"
account for,He said: 'Every single transaction has been properly accounted for.',"to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job"
account for,How do you account for this sudden improvement in his test scores?,to be the reason why something exists or happens
account for,Investors were told that over half their savings had vanished and could not be accounted for.,to be the reason why something exists or happens
account for,Male cases account for about 1 per cent of all breast cancer in the country.,"to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job"
account for,One small child was still not accounted for.,to be the reason why something exists or happens
account for,"Retail sales over the internet last month accounted for 11.9 per cent of the total, excluding fuel, a new high.","to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job"
account for,She had to account for every penny she spent.,to be the reason why something exists or happens
account for,The increase in carbon dioxide emissions may account for changes in the climate.,"to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job"
account for,There is simply no accounting for some people's tastes.,to be the reason why something exists or happens
account for,This was fully and properly accounted for and audited.,to be the reason why something exists or happens
account for,"This week's deluge of strengthening numbers included improved surveys of construction, manufacturing and, crucially, services, which account for three quarters of the economy.",to be the reason why something exists or happens
account for,You will be brought before the disciplinary panel to account for your behaviour.,"if someone is accounted for, you know where they are and so do not worry that they are not where they should be"
ache for,He was so lonely he ached for the sound of a human voice.,to want something or someone very much
act as,Body fat acts as an insulator.,to do the job of a particular kind of person or thing
act as,You speak Greek – will you act as interpreter?,to do the job of a particular kind of person or thing
act on,I’m acting on the advice of my lawyers.,"to do something because you have been given information, advice, or orders"
act on,They were acting on the instructions of senior managers.,"to do something because you have been given information, advice, or orders"
